Date : 2024-04-13 17:08:36
Directory : c:\Users\aaron\Documents\GitHub\manus-unitas\src
Total : 57 files,  1454 codes, 29 comments, 276 blanks, all 1759 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         55 |      1,451 |         29 |        275 |      1,755 |
| CSS        |          2 |          3 |          0 |          1 |          4 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                             |         38 |      2,988 |        144 |        542 |      3,674 |
| . (Files)                                                                                     |          1 |          7 |          1 |          1 |          9 |
| app                                                                                           |         29 |      2,576 |        125 |        445 |      3,146 |
| app (Files)                                                                                   |          5 |        517 |         24 |         82 |        623 |
| app\api                                                                                       |          8 |         94 |          9 |         25 |        128 |
| app\api\auth                                                                                  |          2 |         38 |          4 |          5 |         47 |
| app\api\auth\[...nextauth]                                                                    |          2 |         38 |          4 |          5 |         47 |
| app\api\events                                                                                |          2 |         16 |          0 |          5 |         21 |
| app\api\events (Files)                                                                        |          1 |          6 |          0 |          2 |          8 |
| app\api\events\[id]                                                                           |          1 |         10 |          0 |          3 |         13 |
| app\api\getOrgMembers                                                                         |          1 |          9 |          0 |          2 |         11 |
| app\api\roles                                                                                 |          2 |         23 |          2 |         11 |         36 |
| app\api\roles (Files)                                                                         |          1 |         15 |          2 |          7 |         24 |
| app\api\roles\all                                                                             |          1 |          8 |          0 |          4 |         12 |
| app\api\users                                                                                 |          1 |          8 |          3 |          2 |         13 |
| app\api\users\[...id]                                                                         |          1 |          8 |          3 |          2 |         13 |
| app\components                                                                                |          2 |         70 |          0 |         11 |         81 |
| app\dashboard                                                                                 |          3 |      1,041 |         75 |        135 |      1,251 |
| app\nonprofit-signup                                                                          |          2 |        218 |          9 |         45 |        272 |
| app\organization-details                                                                      |          2 |        106 |          0 |         22 |        128 |
| app\signin                                                                                    |          1 |         92 |          2 |         19 |        113 |
| app\signup                                                                                    |          4 |        280 |          4 |         67 |        351 |
| app\signup (Files)                                                                            |          2 |        158 |          2 |         39 |        199 |
| app\signup\admin                                                                              |          2 |        122 |          2 |         28 |        152 |
| app\volunteer-signup                                                                          |          2 |        158 |          2 |         39 |        199 |
| f:\                                                                                           |         19 |     -1,534 |       -115 |       -266 |     -1,915 |
| f:\manus-unitas                                                                               |         19 |     -1,534 |       -115 |       -266 |     -1,915 |
| f:\manus-unitas\src                                                                           |         19 |     -1,534 |       -115 |       -266 |     -1,915 |
| f:\manus-unitas\src\app                                                                       |         19 |     -1,534 |       -115 |       -266 |     -1,915 |
| f:\manus-unitas\src\app (Files)                                                               |          3 |        -32 |        -23 |        -17 |        -72 |
| f:\manus-unitas\src\app\api                                                                   |          7 |        -81 |         -9 |        -23 |       -113 |
| f:\manus-unitas\src\app\api\auth                                                              |          2 |        -34 |         -4 |         -5 |        -43 |
| f:\manus-unitas\src\app\api\auth\[...nextauth]                                                |          2 |        -34 |         -4 |         -5 |        -43 |
| f:\manus-unitas\src\app\api\events                                                            |          2 |        -16 |          0 |         -5 |        -21 |
| f:\manus-unitas\src\app\api\events (Files)                                                    |          1 |         -6 |          0 |         -2 |         -8 |
| f:\manus-unitas\src\app\api\events\[id]                                                       |          1 |        -10 |          0 |         -3 |        -13 |
| f:\manus-unitas\src\app\api\roles                                                             |          2 |        -23 |         -2 |        -11 |        -36 |
| f:\manus-unitas\src\app\api\roles (Files)                                                     |          1 |        -15 |         -2 |         -7 |        -24 |
| f:\manus-unitas\src\app\api\roles\all                                                         |          1 |         -8 |          0 |         -4 |        -12 |
| f:\manus-unitas\src\app\api\users                                                             |          1 |         -8 |         -3 |         -2 |        -13 |
| f:\manus-unitas\src\app\api\users\[...id]                                                     |          1 |         -8 |         -3 |         -2 |        -13 |
| f:\manus-unitas\src\app\dashboard                                                             |          3 |     -1,006 |        -56 |       -128 |     -1,190 |
| f:\manus-unitas\src\app\nonprofit-signup                                                      |          2 |       -218 |         -9 |        -45 |       -272 |
| f:\manus-unitas\src\app\signup                                                                |          2 |        -39 |        -16 |        -14 |        -69 |
| f:\manus-unitas\src\app\volunteer-signup                                                      |          2 |       -158 |         -2 |        -39 |       -199 |
| lib                                                                                           |          7 |        352 |         18 |         87 |        457 |
| lib\mongo                                                                                     |          4 |        320 |         16 |         85 |        421 |
| lib\util                                                                                      |          3 |         32 |          2 |          2 |         36 |
| utils                                                                                         |          1 |         53 |          0 |          9 |         62 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                      | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\api\auth\[...nextauth]\options.js        | JavaScript |         34 |          4 |          2 |         40 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\api\auth\[...nextauth]\route.js          | JavaScript |          4 |          0 |          3 |          7 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\api\events\[id]\route.js                 | JavaScript |         10 |          0 |          3 |         13 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\api\events\route.js                      | JavaScript |          6 |          0 |          2 |          8 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\api\getOrgMembers\route.js               | JavaScript |          9 |          0 |          2 |         11 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\api\roles\all\route.js                   | JavaScript |          8 |          0 |          4 |         12 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\api\roles\route.js                       | JavaScript |         15 |          2 |          7 |         24 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\api\users\[...id]\route.js               | JavaScript |          8 |          3 |          2 |         13 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\components\Footer.js                     | JavaScript |         53 |          0 |          3 |         56 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\components\TransitionLink.js             | JavaScript |         17 |          0 |          8 |         25 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\dashboard\dashboard.js                   | JavaScript |        854 |         53 |         60 |        967 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\dashboard\notAccepted.js                 | JavaScript |         17 |          0 |          4 |         21 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\dashboard\page.js                        | JavaScript |        170 |         22 |         71 |        263 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\globals.css                              | CSS        |          6 |          0 |          2 |          8 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\layout.js                                | JavaScript |         17 |          0 |          4 |         21 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\nonprofit-signup\Form.js                 | JavaScript |        135 |          0 |         19 |        154 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\nonprofit-signup\page.js                 | JavaScript |         83 |          9 |         26 |        118 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\organization-details\OrganizationForm.js | JavaScript |         51 |          0 |          6 |         57 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\organization-details\page.js             | JavaScript |         55 |          0 |         16 |         71 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\page.js                                  | JavaScript |        450 |         24 |         61 |        535 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signin\page.js                           | JavaScript |         92 |          2 |         19 |        113 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signup\admin\adminSignUp.js              | JavaScript |         92 |          0 |         19 |        111 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signup\admin\page.js                     | JavaScript |         30 |          2 |          9 |         41 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signup\page.js                           | JavaScript |         36 |          1 |         11 |         48 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signup\signup.js                         | JavaScript |        122 |          1 |         28 |        151 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\template.js                              | JavaScript |         33 |          0 |         12 |         45 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\verifySignIn.js                          | JavaScript |         11 |          0 |          3 |         14 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\volunteer-signup\page.js                 | JavaScript |         36 |          1 |         11 |         48 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\volunteer-signup\signup.js               | JavaScript |        122 |          1 |         28 |        151 |
| c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\mongo\events.js                          | JavaScript |         62 |          6 |         20 |         88 |
