"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\api\auth\[...nextauth]\options.js", "JavaScript", 34, 0, 4, 2, 40
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\api\auth\[...nextauth]\route.js", "JavaScript", 4, 0, 0, 3, 7
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\api\events\[id]\route.js", "JavaScript", 10, 0, 0, 3, 13
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\api\events\route.js", "JavaScript", 6, 0, 0, 2, 8
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\api\getOrgMembers\route.js", "JavaScript", 9, 0, 0, 2, 11
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\api\roles\all\route.js", "JavaScript", 8, 0, 0, 4, 12
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\api\roles\route.js", "JavaScript", 15, 0, 2, 7, 24
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\api\users\[...id]\route.js", "JavaScript", 8, 0, 3, 2, 13
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\components\Footer.js", "JavaScript", 53, 0, 0, 3, 56
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\components\TransitionLink.js", "JavaScript", 17, 0, 0, 8, 25
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\dashboard\dashboard.js", "JavaScript", 854, 0, 53, 60, 967
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\dashboard\notAccepted.js", "JavaScript", 17, 0, 0, 4, 21
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\dashboard\page.js", "JavaScript", 170, 0, 22, 71, 263
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\globals.css", "CSS", 0, 6, 0, 2, 8
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\layout.js", "JavaScript", 17, 0, 0, 4, 21
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\nonprofit-signup\Form.js", "JavaScript", 135, 0, 0, 19, 154
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\nonprofit-signup\page.js", "JavaScript", 83, 0, 9, 26, 118
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\organization-details\OrganizationForm.js", "JavaScript", 51, 0, 0, 6, 57
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\organization-details\page.js", "JavaScript", 55, 0, 0, 16, 71
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\page.js", "JavaScript", 450, 0, 24, 61, 535
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signin\page.js", "JavaScript", 92, 0, 2, 19, 113
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signup\admin\adminSignUp.js", "JavaScript", 92, 0, 0, 19, 111
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signup\admin\page.js", "JavaScript", 30, 0, 2, 9, 41
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signup\page.js", "JavaScript", 36, 0, 1, 11, 48
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\signup\signup.js", "JavaScript", 122, 0, 1, 28, 151
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\template.js", "JavaScript", 33, 0, 0, 12, 45
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\verifySignIn.js", "JavaScript", 11, 0, 0, 3, 14
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\volunteer-signup\page.js", "JavaScript", 36, 0, 1, 11, 48
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\app\volunteer-signup\signup.js", "JavaScript", 122, 0, 1, 28, 151
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\mongo\events.js", "JavaScript", 62, 0, 6, 20, 88
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\mongo\index.js", "JavaScript", 7, 0, 0, 4, 11
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\mongo\organization.js", "JavaScript", 135, 0, 7, 42, 184
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\mongo\users.js", "JavaScript", 116, 0, 3, 19, 138
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\util\date.js", "JavaScript", 8, 0, 0, 0, 8
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\util\phoneNumber.js", "JavaScript", 16, 0, 0, 2, 18
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\util\time.js", "JavaScript", 8, 0, 2, 0, 10
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\middleware.js", "JavaScript", 7, 0, 1, 1, 9
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\utils\animations.js", "JavaScript", 53, 0, 0, 9, 62
"Total", "-", 2982, 6, 144, 542, 3674
