Date : 2024-07-04 10:01:38
Directory : f:\manus-unitas
Total : 148 files,  10056 codes, 472 comments, 1592 blanks, all 12120 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |         95 |      7,082 |        408 |      1,191 |      8,681 |
| JavaScript JSX     |         40 |      2,774 |         35 |        369 |      3,178 |
| JSON               |          4 |        111 |          0 |          4 |        115 |
| CSS                |          1 |         53 |         29 |         13 |         95 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
| XML                |          6 |          6 |          0 |          0 |          6 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |        148 |     10,056 |        472 |      1,592 |     12,120 |
| . (Files)                                                                                         |          9 |        245 |          3 |         23 |        271 |
| public                                                                                            |          5 |          5 |          0 |          0 |          5 |
| src                                                                                               |        134 |      9,806 |        469 |      1,569 |     11,844 |
| src (Files)                                                                                       |          1 |         69 |          1 |          4 |         74 |
| src\app                                                                                           |         79 |      7,115 |        416 |      1,105 |      8,636 |
| src\app (Files)                                                                                   |         11 |        698 |         72 |        167 |        937 |
| src\app\(main)                                                                                    |         31 |      3,929 |        192 |        535 |      4,656 |
| src\app\(main) (Files)                                                                            |          2 |         77 |          0 |          8 |         85 |
| src\app\(main)\(pages)                                                                            |         29 |      3,852 |        192 |        527 |      4,571 |
| src\app\(main)\(pages) (Files)                                                                    |          2 |         30 |          0 |          8 |         38 |
| src\app\(main)\(pages)\analytics                                                                  |          3 |        194 |          2 |         39 |        235 |
| src\app\(main)\(pages)\analytics (Files)                                                          |          1 |         27 |          0 |          7 |         34 |
| src\app\(main)\(pages)\analytics\_components                                                      |          2 |        167 |          2 |         32 |        201 |
| src\app\(main)\(pages)\dashboard                                                                  |          5 |      1,345 |        157 |        211 |      1,713 |
| src\app\(main)\(pages)\dashboard (Files)                                                          |          2 |        831 |        144 |        154 |      1,129 |
| src\app\(main)\(pages)\dashboard\_components                                                      |          3 |        514 |         13 |         57 |        584 |
| src\app\(main)\(pages)\dashboard\_components (Files)                                              |          1 |        161 |          3 |          9 |        173 |
| src\app\(main)\(pages)\dashboard\_components\eventList                                            |          1 |        167 |          3 |         14 |        184 |
| src\app\(main)\(pages)\dashboard\_components\selectedEvent                                        |          1 |        186 |          7 |         34 |        227 |
| src\app\(main)\(pages)\people                                                                     |          4 |      1,100 |         30 |        134 |      1,264 |
| src\app\(main)\(pages)\people (Files)                                                             |          2 |        722 |         13 |         98 |        833 |
| src\app\(main)\(pages)\people\_components                                                         |          2 |        378 |         17 |         36 |        431 |
| src\app\(main)\(pages)\settings                                                                   |         15 |      1,183 |          3 |        135 |      1,321 |
| src\app\(main)\(pages)\settings (Files)                                                           |          1 |         80 |          0 |         11 |         91 |
| src\app\(main)\(pages)\settings\billing                                                           |          2 |         44 |          0 |          8 |         52 |
| src\app\(main)\(pages)\settings\notifications                                                     |          1 |         87 |          0 |         12 |         99 |
| src\app\(main)\(pages)\settings\organization                                                      |          3 |        309 |          1 |         33 |        343 |
| src\app\(main)\(pages)\settings\organization (Files)                                              |          2 |         58 |          0 |         14 |         72 |
| src\app\(main)\(pages)\settings\organization\_components                                          |          1 |        251 |          1 |         19 |        271 |
| src\app\(main)\(pages)\settings\profile                                                           |          4 |        358 |          2 |         44 |        404 |
| src\app\(main)\(pages)\settings\profile (Files)                                                   |          2 |        103 |          0 |         17 |        120 |
| src\app\(main)\(pages)\settings\profile\_components                                               |          2 |        255 |          2 |         27 |        284 |
| src\app\(main)\(pages)\settings\roles                                                             |          2 |         88 |          0 |         12 |        100 |
| src\app\(main)\(pages)\settings\security                                                          |          2 |        217 |          0 |         15 |        232 |
| src\app\2fa                                                                                       |          3 |         45 |          1 |         16 |         62 |
| src\app\api                                                                                       |         10 |        801 |        128 |        132 |      1,061 |
| src\app\api\auth                                                                                  |          2 |         86 |          4 |          5 |         95 |
| src\app\api\auth\[...nextauth]                                                                    |          2 |         86 |          4 |          5 |         95 |
| src\app\api\createPaymentIntent                                                                   |          1 |         22 |          0 |          4 |         26 |
| src\app\api\endTutorial                                                                           |          1 |         15 |          0 |          6 |         21 |
| src\app\api\events                                                                                |          2 |         16 |          0 |          5 |         21 |
| src\app\api\events (Files)                                                                        |          1 |          6 |          0 |          2 |          8 |
| src\app\api\events\[id]                                                                           |          1 |         10 |          0 |          3 |         13 |
| src\app\api\getOrgMembers                                                                         |          1 |          9 |          0 |          2 |         11 |
| src\app\api\remind                                                                                |          1 |        502 |         20 |         84 |        606 |
| src\app\api\users                                                                                 |          1 |          8 |          3 |          2 |         13 |
| src\app\api\users\[...id]                                                                         |          1 |          8 |          3 |          2 |         13 |
| src\app\api\webhooks                                                                              |          1 |        143 |        101 |         24 |        268 |
| src\app\api\webhooks\stripe                                                                       |          1 |        143 |        101 |         24 |        268 |
| src\app\checkout                                                                                  |          2 |        148 |          2 |         39 |        189 |
| src\app\checkout\[id]                                                                             |          2 |        148 |          2 |         39 |        189 |
| src\app\completion                                                                                |          2 |         43 |          0 |         12 |         55 |
| src\app\components                                                                                |          2 |         38 |          6 |         10 |         54 |
| src\app\contact                                                                                   |          1 |         50 |          7 |         10 |         67 |
| src\app\organization-details                                                                      |          2 |        208 |          0 |         27 |        235 |
| src\app\privacy-policy                                                                            |          1 |        199 |          0 |          2 |        201 |
| src\app\set-password                                                                              |          2 |         95 |          0 |         20 |        115 |
| src\app\signin                                                                                    |          2 |        156 |          3 |         32 |        191 |
| src\app\signup                                                                                    |          4 |        391 |          4 |         74 |        469 |
| src\app\signup (Files)                                                                            |          2 |        143 |          3 |         43 |        189 |
| src\app\signup\admin                                                                              |          2 |        248 |          1 |         31 |        280 |
| src\app\subscribe                                                                                 |          5 |        173 |          1 |         27 |        201 |
| src\app\subscribe (Files)                                                                         |          3 |        150 |          1 |         17 |        168 |
| src\app\subscribe\success                                                                         |          2 |         23 |          0 |         10 |         33 |
| src\app\terms-and-conditions                                                                      |          1 |        141 |          0 |          2 |        143 |
| src\components                                                                                    |         37 |      2,029 |         18 |        314 |      2,361 |
| src\components (Files)                                                                            |          2 |         12 |          0 |          7 |         19 |
| src\components\infobar                                                                            |          1 |        107 |          3 |          9 |        119 |
| src\components\sidebar                                                                            |          1 |        106 |          0 |          5 |        111 |
| src\components\sign-out-button                                                                    |          1 |         11 |          0 |          2 |         13 |
| src\components\theme-toggle                                                                       |          1 |         36 |          0 |          5 |         41 |
| src\components\ui                                                                                 |         31 |      1,757 |         15 |        286 |      2,058 |
| src\lib                                                                                           |         16 |        540 |         34 |        137 |        711 |
| src\lib (Files)                                                                                   |          2 |         12 |          0 |          4 |         16 |
| src\lib\mongo                                                                                     |          4 |        279 |         18 |         87 |        384 |
| src\lib\schemas                                                                                   |          5 |        178 |          2 |         36 |        216 |
| src\lib\store                                                                                     |          1 |         25 |          1 |          5 |         31 |
| src\lib\stripe                                                                                    |          1 |         14 |         11 |          3 |         28 |
| src\lib\util                                                                                      |          3 |         32 |          2 |          2 |         36 |
| src\utils                                                                                         |          1 |         53 |          0 |          9 |         62 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                          | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| f:\manus-unitas\.eslintrc.json                                                                    | JSON               |          3 |          0 |          1 |          4 |
| f:\manus-unitas\README.md                                                                         | Markdown           |         23 |          0 |         14 |         37 |
| f:\manus-unitas\components.json                                                                   | JSON               |         17 |          0 |          1 |         18 |
| f:\manus-unitas\jsconfig.json                                                                     | JSON with Comments |          7 |          0 |          1 |          8 |
| f:\manus-unitas\next.config.mjs                                                                   | JavaScript         |          2 |          1 |          2 |          5 |
